id,name,alias,is_closed,review_count,price,rating,transactions,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,catlist,numcoffeemen,numreviews,fraccof,name_top5count
uk34HIU-ILX2A-FRs1Or3g,Kaffe 1668 South,kaffe-1668-south-new-york,False,690,$$,4.0,"['pickup', 'delivery']",40.71517100000001,-74.010925,POINT (-74.010925 40.71517100000001),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],92.0,112,0.8214285714285714,other
P4HX6tjQQK4gbdn_d0cGTw,Ground Support,ground-support-new-york,False,510,$,4.0,[],40.7241968559678,-74.0020576327145,POINT (-74.0020576327145 40.7241968559678),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['coffee', 'salad', 'sandwiches']",89.0,104,0.8557692307692307,other
kSNAky2m13fG4Y3Q0arqFg,Everyman Espresso,everyman-espresso-new-york-2,False,171,$$,4.0,[],40.72136070000001,-74.00440959999997,POINT (-74.00440959999997 40.72136070000001),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],92.0,101,0.9108910891089108,other
kA98xP8HiJ_-fVaM7RECLw,Laughing Man Coffee & Tea,laughing-man-coffee-and-tea-new-york-3,False,231,$$,4.5,[],40.71731,-74.01016,POINT (-74.01016 40.71731),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],88.0,100,0.88,other
moo7CuKs4djrUCMHs4G_uQ,Café Integral,café-integral-new-york-2,False,85,$$,4.0,['pickup'],40.720384,-73.995213,POINT (-73.99521300000001 40.720384),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],76.0,84,0.9047619047619048,other
AiJ57vdvqBG431_eeDE8_w,Caffe Roma Pastry,caffe-roma-pastry-new-york,False,307,$$,3.5,[],40.720239899999996,-73.99681,POINT (-73.99681 40.7202399),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee', 'desserts']",51.0,100,0.51,other
xKgh4ZcjY5fTmXTvYVrsbw,Cafe Belle,cafe-belle-new-york,False,61,$,4.5,"['pickup', 'delivery']",40.72437,-73.99509,POINT (-73.99509 40.72437),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee', 'modern_european']",40.0,60,0.6666666666666666,other
oWFl4gLa9Pd67O6C9z8NeQ,Matchaful,matchaful-new-york-5,False,69,$$,4.5,[],40.721090000000004,-74.00398,POINT (-74.00398 40.72109),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],36.0,69,0.5217391304347826,other
2qGA2wu_MYpjUKxzpmQbBg,OddFellows Ice Cream,oddfellows-ice-cream-new-york-3,False,87,$$,4.0,[],40.724579999999996,-73.99445,POINT (-73.99445 40.72458),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['coffee', 'icecream']",35.0,87,0.4022988505747127,other
MYYWU9rEIRZw43lACKXzTQ,Yours Truly,yours-truly-new-york-4,False,89,$$,4.0,[],40.7210275432472,-73.9944903889549,POINT (-73.9944903889549 40.7210275432472),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],77.0,87,0.8850574712643678,other
