id,name,alias,is_closed,review_count,price,rating,transactions,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,catlist
m8UUM6DjMgXtH_qKzo9LBA,Golden Steamer,golden-steamer-new-york,False,336,$,4.0,[],40.71875,-73.99672,POINT (-73.99672 40.71875),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee']"
ip733nbgjaMMazfQ-Ibhgg,Fiat Cafe,fiat-cafe-new-york,False,577,$$,4.0,"['pickup', 'restaurant_reservation', 'delivery']",40.72143300000001,-73.995689,POINT (-73.995689 40.72143300000001),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'coffee', 'italian']"
jzQNE09rRKz8Ou-bEdEY1Q,The Grey Dog - Nolita,the-grey-dog-nolita-new-york-3,False,586,$$,4.0,"['pickup', 'delivery']",40.7229699,-73.99576,POINT (-73.99576 40.7229699),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'coffee', 'newamerican']"
aafj0sUR__011Dm5EZ_TFg,Bibble & Sip,bibble-and-sip-new-york-5,False,164,$,4.5,[],40.71796,-73.99761,POINT (-73.99760999999999 40.71796),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee']"
FeVmZXCk9y7Gff48e79AVA,MarieBelle,mariebelle-new-york-3,False,507,$$$,4.0,"['pickup', 'delivery']",40.7232107708636,-74.002450627852,POINT (-74.002450627852 40.7232107708636),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['chocolate', 'coffee', 'gelato']"
z9sRnN1gPyxz9SJ52XDWoQ,Chobani SoHo,chobani-soho-new-york,False,655,$,4.5,['delivery'],40.72568954900979,-74.0010523796082,POINT (-74.0010523796082 40.72568954900979),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['cafes', 'coffee', 'sandwiches']"
tJY11BoV6Epe2MmV6o7L9w,The Dough Club,the-dough-club-new-york,False,235,,4.0,"['pickup', 'delivery']",40.7179112,-73.99887,POINT (-73.99887 40.7179112),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'desserts', 'donuts']"
Aa1hpwN_4HT7dQuolJexGw,Little Cupcake Bakeshop,little-cupcake-bakeshop-new-york-2,False,926,$$,3.5,[],40.72291,-73.99482990000001,POINT (-73.99482990000001 40.72291),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'cupcakes']"
jDLKMWhHACb5w1DDtnW9ag,Happy Bones NYC,happy-bones-nyc-new-york,False,276,$$,4.0,[],40.720726,-73.9970474,POINT (-73.9970474 40.720726),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
Da9aNH6kW3fv4mTzqx3yPw,Caffe Palermo,caffe-palermo-new-york-2,False,559,$$,3.5,"['pickup', 'delivery']",40.71895960000001,-73.9972725,POINT (-73.99727249999999 40.71895960000001),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'italian']"
