id,name,alias,is_closed,categories,review_count,price,rating,transactions,latitude,longitude
lWOkeS-wV4no8qqA9OwwEg,Doughnut Plant,doughnut-plant-new-york-6,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",3213,$$,4.5,"['pickup', 'delivery']",40.7163944930004,-73.9886098620298
UZViRVpxNZvOM5KarmbT1g,Sweet Moment,sweet-moment-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'waffles', 'title': 'Waffles'}]",822,$$,4.5,[],40.71763,-73.99714
nOCjslrdcKBQQYgD5qUs9Q,Kam Hing Coffee Shop,kam-hing-coffee-shop-new-york-2,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",645,$,4.5,[],40.7182480993847,-73.9990044118685
hGo9KArKThuOKxNbwmNpoA,Ruby's Cafe,rubys-cafe-new-york-2,False,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",1190,$$,4.0,"['pickup', 'delivery']",40.72232879999999,-73.996326
0rQz8mkleT62eUkiAVs4UA,Russ & Daughters Cafe,russ-and-daughters-cafe-new-york-5,False,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}]",1004,$$,4.0,[],40.7196253171697,-73.9895758930263
PWsU_ORsfcjeeUqocm9vQg,Petee's Pie Company,petees-pie-company-new-york,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]",743,$,4.5,"['pickup', 'delivery']",40.71921585086071,-73.9912822511308
OiqGAhC5EQXb1CaNxxvfBQ,Harney & Sons SoHo,harney-and-sons-soho-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",734,$$,4.5,[],40.7214398332376,-73.9994008558221
ikazsJps1k-Br2FbunwCtg,Spot Dessert Bar,spot-dessert-bar-new-york-2,False,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",2981,$$,4.0,"['pickup', 'delivery']",40.72939,-73.98892
AYjVpQ5jYz5gJJqXh_B_CA,Teado Tea Shop,teado-tea-shop-new-york-6,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",349,$,4.5,[],40.717214299999995,-73.9949616
8zIXMsbcDS7kqH8N-09zLg,Cha Cha Matcha,cha-cha-matcha-new-york-8,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",907,$$,4.0,[],40.720065999999996,-73.996261
-8nEZ20KDfr4PPH47MrAOA,La Colombe Coffee,la-colombe-coffee-new-york-2,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",670,$$,4.5,[],40.72396,-73.99643
6xPlSpyxE3PLJVeRvt2BwQ,Yaya Tea Garden,yaya-tea-garden-new-york-3,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",480,$,4.0,"['pickup', 'delivery']",40.7162999,-73.99495999999999
pimuUR-TEHIjUla3S3jemQ,Coffee Project New York,coffee-project-new-york-new-york-3,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",679,$$,4.5,[],40.72699,-73.98921999999999
7Qvh0oFRsoqrO9qNlcMKXQ,Saigon Shack,saigon-shack-new-york,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'salad', 'title': 'Salad'}]",2384,$,4.0,"['pickup', 'delivery']",40.729690000000005,-74.000629
b92EVHuzG-7uv37fQU9jew,McNally Jackson,mcnally-jackson-new-york,False,"[{'alias': 'bookstores', 'title': 'Bookstores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",431,$$,4.5,[],40.72339,-73.99598
kuKSvCZDFrgOrY-dcrOefg,Round K,round-k-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bagels', 'title': 'Bagels'}]",367,$$,4.5,"['pickup', 'delivery']",40.7159638,-73.9917406
0hkTO8W3g3r5p27XRKxJRw,La Bella Ferrara Cafe,la-bella-ferrara-cafe-new-york,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",455,$,4.0,[],40.7173118,-73.99824659999999
HUlbrPvAr6sXuBfp5z1MWA,Urban Backyard,urban-backyard-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",149,$$,5.0,"['pickup', 'delivery']",40.72077,-73.99646
m8UUM6DjMgXtH_qKzo9LBA,Golden Steamer,golden-steamer-new-york,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",336,$,4.0,[],40.71875,-73.99672
Qv55durebiw0UMYaK29Y5w,Macaron Parlour,macaron-parlour-new-york-3,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'macarons', 'title': 'Macarons'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",397,$$,4.0,"['pickup', 'delivery']",40.715509999999995,-73.99022
ip733nbgjaMMazfQ-Ibhgg,Fiat Cafe,fiat-cafe-new-york,False,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",577,$$,4.0,"['pickup', 'restaurant_reservation', 'delivery']",40.721433000000005,-73.995689
jzQNE09rRKz8Ou-bEdEY1Q,The Grey Dog - Nolita,the-grey-dog-nolita-new-york-3,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]",586,$$,4.0,"['pickup', 'delivery']",40.722969899999995,-73.99576
aafj0sUR__011Dm5EZ_TFg,Bibble & Sip,bibble-and-sip-new-york-5,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",164,$,4.5,[],40.71796,-73.99761
FeVmZXCk9y7Gff48e79AVA,MarieBelle,mariebelle-new-york-3,False,"[{'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'gelato', 'title': 'Gelato'}]",507,$$$,4.0,"['pickup', 'delivery']",40.7232107708636,-74.002450627852
wxlMX0tqhl8jK-FOt_1S-A,Kung Fu Tea,kung-fu-tea-new-york-31,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",386,$,4.0,[],40.717113,-73.994558
z9sRnN1gPyxz9SJ52XDWoQ,Chobani SoHo,chobani-soho-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}]",655,$,4.5,['delivery'],40.72568954900979,-74.0010523796082
9_PfzNxJP2iqqJs8hDubgw,Boba Guys,boba-guys-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",667,$,4.0,[],40.720657,-73.984542
tJY11BoV6Epe2MmV6o7L9w,The Dough Club,the-dough-club-new-york,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",235,,4.0,"['pickup', 'delivery']",40.7179112,-73.99887
Aa1hpwN_4HT7dQuolJexGw,Little Cupcake Bakeshop,little-cupcake-bakeshop-new-york-2,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}]",926,$$,3.5,[],40.72291,-73.99482990000001
aQFuzYc21Li_d-eXgVIACg,Juicy Spot Cafe,juicy-spot-cafe-new-york-2,False,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",241,$$,4.5,[],40.7147999,-73.99862900000001
jDLKMWhHACb5w1DDtnW9ag,Happy Bones NYC,happy-bones-nyc-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",276,$$,4.0,[],40.720726,-73.9970474
Da9aNH6kW3fv4mTzqx3yPw,Caffe Palermo,caffe-palermo-new-york-2,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'italian', 'title': 'Italian'}]",559,$$,3.5,"['pickup', 'delivery']",40.718959600000005,-73.9972725
Toe219x40Dtq71_HOQ1OOg,La Colombe Coffee,la-colombe-coffee-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",356,$$,4.0,[],40.719941,-74.003781
9HkUue6kUfTIQUlLynWLMQ,Bosie,bosie-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",939,$$,4.0,"['pickup', 'delivery']",40.7277403,-73.99955390000001
GlPJPpKvPR4d8dmcSEYpdA,Takahachi Bakery,takahachi-bakery-new-york,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",901,$$,4.0,[],40.71393,-74.00822
mIhqKMgru4002wfrVW-Gfw,ChikaLicious Dessert Bar,chikalicious-dessert-bar-new-york-3,False,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1320,$$,4.0,"['pickup', 'delivery']",40.72964,-73.98626
NyFXsvNhwCwkqVfmCU5LJw,Van Leeuwen Ice Cream,van-leeuwen-ice-cream-new-york-23,False,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",950,$$,4.0,"['pickup', 'delivery']",40.7277,-73.98768000000001
fiVtLDD20uyMh_qiAKyZGA,Roasting Plant,roasting-plant-new-york-4,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",272,$,4.0,[],40.71781,-73.99051
jsJdz6pvyYZjtut9vkUwBw,Yaya Tea Garden,yaya-tea-garden-new-york-6,False,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",257,$,4.0,"['pickup', 'delivery']",40.7192268371582,-73.99627685546879
Rs196agFk9VEW2mHrOwpvw,12 Corners,12-corners-new-york-4,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",158,$,4.5,[],40.7180405,-73.99720759999998
S-WdvEU1X7J33whXWk1zmw,MUD,mud-new-york-3,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",1168,$$,4.0,[],40.72905,-73.98668
vZevXSC1w27dEvXc2EHCEg,Good Thanks NYC,good-thanks-nyc-new-york,False,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",165,$$,4.5,"['pickup', 'delivery']",40.71972,-73.98952
