,id,name,alias,is_closed,categories,review_count,price,rating,transactions,latitude,longitude
1656,IRd9AJz31MNOmtNWA974ZQ,MONA Kitchen & Market,mona-kitchen-and-market-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",38,$$,3.5,"['delivery', 'pickup']",40.7505569458008,-73.9704818725586
1657,s0A9VCZLpwjHaKX3R7E1jA,Pret A Manger,pret-a-manger-new-york-53,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",75,$,3.5,[],40.748102,-73.993083
1658,4VOu-iEcbbfdhmue1VrWQA,Oren's Daily Roast,orens-daily-roast-new-york-14,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",17,$$,4.0,[],40.752388,-73.9779663
1659,xFefCWC6Ng1OHBMXHzbfrQ,LÜLÜ COFFEE CO,lülü-coffee-co-new-york-23,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",99,$,5.0,"['delivery', 'pickup']",40.747277,-73.9893112
1660,DyxSrWgFUodeOpfgNcGn9w,Pret A Manger,pret-a-manger-new-york-7,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",80,$,3.5,[],40.758998,-73.979045
1661,eyA4zKhj_GgGorm4lPX3AQ,Pret A Manger,pret-a-manger-new-york-74,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",52,$,4.0,"['delivery', 'pickup']",40.7598594101232,-73.9876208
1662,Yg5RYfgQauY4mvY3pixzqA,Le Petit Parisien,le-petit-parisien-new-york,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",57,$$,4.5,"['delivery', 'pickup']",40.72821,-73.98921
1663,bJd5TR3fLuDLGDa1Dnfs1A,Pret A Manger,pret-a-manger-new-york-62,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",52,$,3.5,[],40.748599,-73.989218
1664,tlXKNDgLJoGoiQ1WLesL9Q,Möge Tee - Fifth Ave,möge-tee-fifth-ave-new-york-2,False,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",21,$,4.0,"['delivery', 'pickup']",40.74555,-73.986352
1665,5KzeXpVMQQoN4Xjey4nBkg,Ralph's Coffee,ralphs-coffee-new-york-3,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",23,$$,4.5,[],40.7587008886395,-73.9781311633061
1666,jBDF6otR5f9mBjhzP1uv3Q,Cupcake Cafe,cupcake-cafe-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]",249,$$,3.0,[],40.76404,-73.99195
1667,Z_jHSj127fqMDpsKe3NLjg,The Donut Pub,the-donut-pub-new-york-7,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",85,$,4.0,"['delivery', 'pickup']",40.729845,-73.992809
1668,2BrScW5a4HBDe85STpdYsQ,The Flame Diner,the-flame-diner-new-york-2,False,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",302,$$,3.0,"['delivery', 'pickup']",40.7684093,-73.9855488
1669,8wQQh-q6YBecqQc4HLm-iQ,Pret A Manger,pret-a-manger-new-york-26,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",43,$,3.5,[],40.752311,-73.985572
1670,dcq8eCG7HpYcmtI0M8mtuw,Guy & Gallard,guy-and-gallard-new-york-7,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",105,$,2.5,"['delivery', 'pickup']",40.74633,-73.98032
1671,7r0jxWDWcJd8B0KhMN2LbA,Kahve,kahve-new-york-4,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",77,$,4.0,[],40.76282,-73.9935
1672,_9nTH50K42Yme41Ue1SKRQ,Starbucks,starbucks-new-york-373,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",39,$,3.0,[],40.751558,-73.973617
1673,1zZt1pkpkst4NDqqneqvWg,Starbucks,starbucks-new-york-218,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",61,$$,2.5,[],40.750319,-73.9770422
1674,qq-VCFUIc7ekiq1T-RjcSg,Buongiorno Espresso Bar,buongiorno-espresso-bar-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",78,$,3.5,"['pickup', 'delivery']",40.75591,-73.9940699
1675,SXlGRUSIJ3oOx-rWFmjYQQ,Think Coffee Bowery,think-coffee-bowery-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",282,$$,3.5,[],40.725421,-73.992469
1676,5TJdeGTJSOPjfJvGGO9cRw,Sahara East,sahara-east-new-york-2,False,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",279,$$,3.0,"['pickup', 'delivery']",40.7294197096977,-73.9835608443846
1677,mKqqDTOKr5oYZeAJkGTMUg,Birch Coffee,birch-coffee-new-york-16,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",43,,4.5,[],40.76808,-73.98537
1678,1yN67uSDr77foqZA41RU2g,JOE & THE JUICE,joe-and-the-juice-new-york-13,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'cafes', 'title': 'Cafes'}]",187,$,3.0,[],40.762735,-73.978052
1679,r7YK3w8pLkWwnDGLRRcH1w,Paris Baguette,paris-baguette-new-york-10,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",86,$$,3.5,[],40.7670104538271,-73.9827597141266
1680,u768cfsaa2mm5wP9XnSO2g,Pret A Manger,pret-a-manger-new-york-69,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",77,$,3.5,[],40.751229,-73.992226
1681,WWjUSRtgwGmGXNGFkHzC5g,Bistro Market Place,bistro-market-place-new-york-2,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",120,$$,3.0,"['pickup', 'delivery']",40.75242,-73.99442
1682,H4aFAAtJz6lSMbe7n9laug,Quick Stop,quick-stop-new-york-2,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",8,$,5.0,[],40.754678,-73.973781
1683,FCnh2sIXE5cL9qi3rKu_RQ,Pret a Manger,pret-a-manger-new-york-73,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",31,$,3.5,[],40.7431630554409,-73.9843790978193
1684,_FwUSTdbmZEMF4Xld29SgA,Bluestone Lane,bluestone-lane-new-york-17,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",136,$$,4.5,[],40.75257,-73.98789
